,initial_radius,frequency,acoustic_pressure,temperature,density,viscosity,surface_tension,sound_velocity,vapor_pressure
0,1e-06,1000000.0,200000.0,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
1,1e-06,1000000.0,228282.82828282827,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
2,1e-06,1000000.0,256565.65656565657,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
3,1e-06,1000000.0,284848.48484848486,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
4,1e-06,1000000.0,313131.31313131313,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
5,1e-06,1000000.0,341414.1414141414,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
6,1e-06,1000000.0,369696.9696969697,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
7,1e-06,1000000.0,397979.797979798,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
8,1e-06,1000000.0,426262.62626262626,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
9,1e-06,1000000.0,454545.45454545453,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
10,1e-06,1000000.0,482828.2828282828,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
11,1e-06,1000000.0,511111.1111111111,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
12,1e-06,1000000.0,539393.9393939395,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
13,1e-06,1000000.0,567676.7676767677,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
14,1e-06,1000000.0,595959.595959596,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
15,1e-06,1000000.0,624242.4242424243,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
16,1e-06,1000000.0,652525.2525252525,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
17,1e-06,1000000.0,680808.0808080807,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
18,1e-06,1000000.0,709090.9090909091,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
19,1e-06,1000000.0,737373.7373737374,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
20,1e-06,1000000.0,765656.5656565656,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
21,1e-06,1000000.0,793939.3939393939,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
22,1e-06,1000000.0,822222.2222222222,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
23,1e-06,1000000.0,850505.0505050505,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
24,1e-06,1000000.0,878787.8787878788,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
25,1e-06,1000000.0,907070.7070707071,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
26,1e-06,1000000.0,935353.5353535353,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
27,1e-06,1000000.0,963636.3636363636,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
28,1e-06,1000000.0,991919.191919192,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
29,1e-06,1000000.0,1020202.0202020202,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
30,1e-06,1000000.0,1048484.8484848485,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
31,1e-06,1000000.0,1076767.6767676766,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
32,1e-06,1000000.0,1105050.505050505,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
33,1e-06,1000000.0,1133333.3333333335,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
34,1e-06,1000000.0,1161616.1616161615,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
35,1e-06,1000000.0,1189898.98989899,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
36,1e-06,1000000.0,1218181.8181818181,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
37,1e-06,1000000.0,1246464.6464646463,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
38,1e-06,1000000.0,1274747.4747474748,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
39,1e-06,1000000.0,1303030.303030303,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
40,1e-06,1000000.0,1331313.1313131312,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
41,1e-06,1000000.0,1359595.9595959596,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
42,1e-06,1000000.0,1387878.7878787878,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
43,1e-06,1000000.0,1416161.616161616,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
44,1e-06,1000000.0,1444444.4444444445,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
45,1e-06,1000000.0,1472727.2727272727,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
46,1e-06,1000000.0,1501010.101010101,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
47,1e-06,1000000.0,1529292.9292929294,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
48,1e-06,1000000.0,1557575.7575757576,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
49,1e-06,1000000.0,1585858.5858585858,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
50,1e-06,1000000.0,1614141.4141414142,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
51,1e-06,1000000.0,1642424.2424242424,20.0,998.158052292759,0.001002,0.07273614042160757,1482.35829856432,3271.8
